TT	STT DM BYT	Tên thành phần của thuốc	Tên thương mại	Nồng độ, hàm lượng 	Đường dùng	Dạng bào chế	Cơ sở sản xuất	Nước sản xuất	SĐK hoặc GPNK	ĐVT	Giá mua vào (VAT)	Giá thanh toán BHYT	Ghi chú
31	38	Kim tiền thảo, Trạch tả.	Viên Kim Tiền Thảo Trạch Tả	Gói 5g.	Uống	Viên hoàn cứng	Công ty cổ phần dược phẩm Hà Nam	Việt Nam	VD-31661-19	Gói	4.620	4.620	20.000
32	44	Nhân trần, Bồ công anh, Cúc hoa, Actiso, Cam thảo, Kim ngân hoa.	Thanh nhiệt tiêu độc Livergood	1000mg + 670mg + 340mg + 670mg + 125mg + 340mg.	Uống	Viên nang cứng	Công ty cổ phần dược phẩm Hà Nam	Việt Nam	VD-28943-18	viên	2.100	2.100	120.000
33	49	Sài đất, Thương nhĩ tử, Kinh giới, Thổ phục linh, Phòng phong, Đại hoàng, Kim ngân hoa, Liên kiều, Hoàng liên, Bạch chỉ, Cam thảo.	Thanh nhiệt tiêu độc-F	500mg + 500mg + 500mg + 375mg + 375mg + 375mg + 150mg + 125mg + 125mg + 100mg + 25mg.	Uống	Viên nang cứng	Công ty TNHH Dược phẩm Fitopharma	Việt Nam	VD-20536-14	Viên	1.210	1.210	60.000
3. Nhóm thuốc khu phong trừ thấp													
34	54	Cao xương hỗn hợp, Hoàng bá, Tri mẫu, Trần bì, Bạch thược, Can khương, Thục địa.	Dưỡng cốt	324mg + 1,20g + 0,15g + 0,3g + 0,3g + 0,075g + 0,3g.	Uống	Viên nang cứng	Công ty cổ phần công nghệ cao Traphaco	Việt Nam	TCT-00231-24	Viên	2.200	2.200	100.000
35	54	Cao xương hỗn hợp, Hoàng bá, Tri mẫu, Trần bì, Bạch thược, Can khương, Thục địa.	Dưỡng cốt hoàn	0,75g + 2,4g + 0,3g + 0,6g + 0,6g + 0,15g + 0,6g.	Uống	Viên hoàn cứng	Công ty cổ phần công nghệ cao Traphaco	Việt Nam	VD-17817-12	Gói	1.900	1.900	100.000
36	69	Mã tiền chế, Độc hoạt, Xuyên khung, Tế tân, Phòng phong, Quế chi, Hy thiêm, Đỗ trọng, Đương quy, Tần giao, Ngưu tất.	Phong tê thấp Hyđan	20mg + 12mg + 8mg + 6mg + 12mg + 6mg + 12mg + 16mg + 16mg + 12mg + 12mg.	Uống	Hoàn cứng	Nhà máy sản xuất thuốc đông dược-Công ty cổ phần Dược-VTYT Thanh Hóa	Việt Nam	VD-24402-16	Túi	3.381	3.381	2.000
37	70	Mã tiền chế, Đương qui, Đỗ trọng, Ngưu tất, Quế Chi, Độc hoạt, Thương truật, Thổ phục linh.	Phong Tê Thấp HD new	70mg + 70mg + 70mg + 60mg + 40mg + 80mg + 80mg + 100mg.	Uống	Viên nang cứng	Công ty cổ phần dược vật tư y tế Hải Dương	Việt Nam	VD-27694-17	Viên	1.495	1.495	400.000
38	71	Mã tiền chế, Hy thiêm, Ngũ gia bì.	Hyđan 500	22mg + 500mg + 170mg.	Uống	Viên hoàn cứng bao phim	Nhà máy sản xuất thuốc đông dược-Công ty cổ phần Dược-VTYT Thanh Hóa	Việt Nam	VD-24401-16	Túi	2.793	2.793	2.000
39	72	Mã tiền chế, Thương truật, Hương phụ tứ chế, Mộc hương, Địa liền, Quế chi.	Frentine	50mg+20mg+13mg+8mg+6mg+3mg	Uống	Viên nang cứng	Công ty cổ phần dược phẩm Trung ương 3	Việt Nam	VD-25306-16	Viên	1.890	1.890	300.000
40	76	Tục đoạn, Phòng phong, Hy thiêm, Độc hoạt, Tần giao, Bạch thược, Đương quy, Xuyên khung, Thiên niên kiện, Ngưu tất, Hoàng kỳ, Đỗ trọng.	Tuzamin	250mg+250mg+250mg+200mg+200mg+150mg+150mg+150mg+150mg+150mg+100mg.	Uống	Viên nang cứng	Công ty cổ phần dược trung ương Mediplantex	Việt  Nam	VD-24355-16	Viên	2.000	2.000	150.000
4. Nhóm thuốc nhuận tràng, tả hạ, tiêu thực, bình vị, kiện tì													
41	81	Bạch truật, Mộc hương, Hoàng liên, Cam thảo, Bạch linh, Đảng sâm, Thần khúc, Trần bì, Sa nhân, Mạch nha, Sơn tra, Hoài sơn, Nhục đậu khấu.	Đại tràng hoàn Abipha	0,72g + 0,24g + 0,12g + 0,144g + 0,48g + 0,24g + 0,24g + 0,48g + 0,24g + 0,24g + 0,24g + 0,48g + 0,48g.	Uống	Hoàn cứng	Công ty Cổ phần Dược phẩm Công nghệ cao Abipha	Việt Nam	TCT-00238-24	Gói	3.675	3.675	30.000
42	83	Bạch truật, Ý dĩ, Cam thảo, Mạch nha, Liên nhục, Sơn tra, Đảng sâm, Thần khúc, Phục linh, Phấn hoa, Hoài Sơn, Cao xương hỗn hợp.	Bổ tỳ dưỡng cốt Thái Dương	Dung tích 100ml.	Uống	Cao lỏng	CN Công ty CP Sao Thái Dương tại Hà Nam	Việt Nam	VD-27323-17	Lọ	50.000	50.000	2.000
43	85	Cam thảo, Đảng sâm, Dịch chiết men bia.	Phalintop	Ống 10ml.	Uống	Dung dịch thuốc nước	Công ty cổ phần dược Hà Tĩnh	Việt Nam	893200723624 (VD-24094-16)	Ống	4.100	4.100	10.000
44	87	Chè dây.	Ampelop	625mg.	Uống	Viên nang cứng	Công ty cổ phần công nghệ cao Traphaco	Việt Nam	VD-23887-15	Viên	1.278	1.278	100.000
45	87	Chè dây.	Chè dây	1500mg.	Uống	Viên nang cứng	Công ty TNHH Dược phẩm Fitopharma	Việt Nam	893200043124 (VD-23925-15)	Viên	950	950	100.000
46	88	Chỉ thực, Nhân sâm, Bạch truật, Bạch linh, Bán hạ, Mạch nha, Hậu phác, Cam thảo, Can khương, Hoàng liên.	Chỉ thực tiêu bĩ-F	480mg + 290mg + 290mg + 290mg + 290mg + 290mg +250mg + 187,3mg + 187,3mg.	Uống	Viên nang cứng	Công ty TNHH Dược phẩm Fitopharma	Việt Nam	VD-21486-14	Viên	1.200	1.200	20.000
47	95	Lá khôi, Dạ cẩm, Cỏ hàn the, Khổ sâm, Ô tặc cốt.	Folitat dạ dày	160mg + 0,12g + 0,12g + 0,12g + 120mg.	Uống	Viên nang cứng	Công ty Cổ phần Dược phẩm Yên Bái	Việt Nam	VD-29242-18	Viên	2.000	2.000	50.000
48	98	Men bia ép tinh chế.	Biofil	4g.	Uống	Dung dịch uống	Nhà máy sản xuất thuốc đông dược-Công ty cổ phần Dược-VTYT Thanh Hóa	Việt Nam	893200188925 (VD-22274-15)	Ống	2.520	2.520	20.000
49	101	Nghệ vàng.	Tumegas	Gói 15ml.	Uống	Gel uống	Công ty Cổ phần Dược Hà Tĩnh	Việt  Nam	893200723724 (VD-25590-16)	Gói	7.455	7.455	20.000
50	105	Đảng sâm, Bạch linh, Bạch truật, Cam thảo, Trần bì, Bán hạ chế, Sa nhân, Mộc hương, Gừng tươi.	Hương sa lục quân	250mg + 432mg + 432mg + 151mg + 173mg + 216mg + 173mg +151mg + 22mg.	Uống	Viên nang cứng	Công ty TNHH Dược phẩm Fitopharma	Việt Nam	VD-21492-14	Viên	1.150	1.150	50.000
51	107	Đảng sâm, Hoàng kỳ, Đương quy, Bạch truật, Thăng ma, Sài hồ, Trần bì, Cam thảo, Đại táo.	Viên bách trĩ	340mg + 280mg + 60mg + 60mg + 60mg + 60mg+ 60mg + 60mg + 280mg.	Uống	Viên nang cứng	Công ty Cổ phần Dược phẩm Trung ương 3	Việt Nam	VD-25817-16	Viên	693	693	30.000
52	113	Thương truật, Hậu phác, Trần bì, Cam thảo.	Stomaps	530mg + 400mg + 270mg +130mg.	Uống	Viên nang cứng	Công ty TNHH MTV Dược phẩm Phước Sanh Pharma	Việt Nam	VD-32732-19	Viên	2.400	2.400	70.000
53	118	Trinh nữ hoàng cung, Tri mẫu, Hoàng bá, Ích mẫu, Đào nhân, Trạch tả, Xích thược, Nhục quế.	Tadimax	80mg + 666mg + 666mg + 666mg + 83mg + 830mg + 500mg + 8,3mg.	Uống	Viên nén bao phim	Công ty cổ phần dược Danapha	Việt Nam	893210123100	Viên	3.450	3.450	20.000
5. Nhóm thuốc an thần, định chí, dưỡng tâm													
54	125	Đan sâm, Tam thất, Borneol.	Viên hộ tâm Opcardio	450mg + 141mg + 8mg.	Uống	Viên nang cứng	Chi nhánh Công ty Cổ phần Dược phẩm OPC tại Bình Dương - Nhà máy Dược phẩm OPC	Việt Nam	893100923924 (VD-30462-18)	Viên	903	903	20.000
55	127	Đinh lăng, Bạch quả, Đậu tương.	Tuần Hoàn Não Thái Dương	0,2g + 0,033g + 0,083g.	Uống	Viên nang cứng	Chi nhánh Công ty cổ phần Sao Thái Dương tại Hà Nam	Việt Nam	893200131600	Viên	2.916	2.916	80.000
56	127	Đinh lăng, Bạch quả.	Ceginkton	250mg + 100mg.	Uống	Viên nang mềm	Nhà máy HDpharma EU- Công ty cổ phần Dược VTYT Hải Dương	Việt Nam	VD-33689-19	Viên	2.150	2.150	100.000
57	127	Đinh lăng, Bạch quả.	Hoạt huyết dưỡng não	200mg + 30mg	Uống	Viên nang cứng	Công ty cổ phần dược vật tư y tế Hải Dương	Việt Nam	VD-22572-15	Viên	419	419	200.000
58	127	Đinh lăng, Bạch quả.	Cao lỏng Hoạt huyết dưỡng não DTH	Ống 8ml.	Uống	Cao lỏng	Công ty cổ phần dược TH Pharma	Việt Nam	893200120200	Ống	5.460	5.460	100.000
59	128	Địa long, Hoàng kỳ, Đương quy, Xích thược, Xuyên khung, Đào nhân, Hồng hoa.	Hoạt huyết dưỡng não Đông Dược Việt	120mg + 1200mg + 240mg + 180mg + 120mg + 120mg + 120mg.	Uống	Viên nang cứng	Công ty Cổ phần Dược phẩm Việt (Đông Dược Việt)	Việt Nam	VD-33193-19	Viên	5.770	5.770	80.000
60	128	Địa long, Hoàng kỳ, Đương quy, Xích thược, Xuyên khung, Đào nhân, Hồng hoa.	THARODAS	0,26g + 1,06g + 0,53g + 0,35g + 0,26g + 0,26g + 0,26g.	Uống	Thuốc cốm	Công ty cổ phần dược phẩm Thành Phát	Việt Nam	TCT-00063-22	Gói	7.740	7.740	50.000
61	129	Đương quy, Bạch quả.	Bổ huyết ích não	0,3g + 0,04g.	Uống	Viên nang cứng	Công ty TNHH Nam Dược	Việt Nam	VD-29530-18	Viên	1.490	1.490	150.000
62	133	Hồng hoa, Đương quy, Sinh địa, Sài hồ, Cam thảo, Xích thược, Xuyên khung, Chỉ xác, Ngưu tất, Bạch quả.	Cerecaps	280mg+685mg+375mg+280mg+375mg+375mg+685mg+280mg+375mg+15mg.	Uống	Viên nang cứng	Công ty cổ phần dược trung ương Mediplantex	Việt  Nam	VD-24348-16	Viên	2.246	2.246	350.000
63	134	Lá sen, Lá vông, Rotundin.	Relaxven-plus	80mg + 95mg + 15mg.	Uống	Viên nén bao phim	Công ty cổ phần dược phẩm Reliv	Việt Nam	893110717824	Viên	2.935	2.935	100.000
64	135	Lá sen, Lá vông, Lạc tiên, Tâm sen, Bình vôi.	Dưỡng tâm an thần ĐDV	650mg + 500mg + 650mg + 150mg + 1200mg.	Uống	Viên nang cứng	Công ty Cổ phần Dược phẩm Việt (Đông Dược Việt)	Việt Nam	VD-35156-21	Viên	2.800	2.800	200.000
65	135	Lá sen, Vông nem, Lạc tiên, Bình vôi.	Viên an thần Rutynda	480mg + 480mg + 480mg + 720mg.	Uống	Viên nang cứng	Công ty Cổ phần Dược phẩm Việt (Đông Dược Việt)	Việt Nam	VD-32551-19	Viên	1.635	1.635	300.000
66	138	Sinh địa, Mạch môn, Thiên môn đông, Táo nhân, Bá tử nhân, Huyền sâm, Viễn chí, Ngũ vị tử, Đảng sâm, Đương quy, Đan sâm, Phục thần, Cát cánh.	An Thần Bổ Tâm - F	400mg + 133,3mg + 133,3mg + 133,3mg + 133,3mg + 66,7mg + 66,7mg + 66,7mg + 53,3mg + 53,3mg + 46,7mg + 46,7mg + 26,7mg.	Uống	Viên nang cứng	Công ty TNHH Dược Phẩm Fito Pharma	Việt Nam	VD-20532-14	Viên	1.600	1.600	150.000
67	139	Sinh địa, Đảng sâm, Đan sâm, Huyền sâm, Bạch linh, Ngũ vị tử, Viễn chí, Cát cánh, Đương quy, Thiên môn, Mạch môn, Toan táo nhân, Bá tử nhân, Chu sa.	Bearbidan	0,125g + 0,125g + 0,125g + 0,125g + 0,125g + 0,15g + 0,125g + 0,125g + 0,15g + 0,15g + 0,15g + 1g + 0,15g + 0,05g.	Uống	Viên nang cứng	Công ty cổ phần Dược Hà Tĩnh	Việt Nam	VD-26694-17	Viên	1.980	1.980	20.000
68	140	Thỏ ty tử, Hà thủ ô, Dây đau xương, Cốt toái bổ, Đỗ trọng, Cúc bất tử, Nấm sò khô.	Flavital 500	25mg + 25mg + 25mg + 25mg + 25mg + 50mg + 500mg.	Uống	Viên nang cứng	Công ty cổ phần dược phẩm Hà Tây	Việt Nam	VD-24184-16	Viên	2.700	2.700	40.000
6. Nhóm thuốc chữa các bệnh về phế													
69	149	Khổ hạnh nhân, Cát cánh, Tử uyển,  Cam thảo , Mạch môn, Trần bì, Bách bộ, Kinh giới.	Thuốc ho KH không đường	0,96g  + 0,96g  + 0,96g  + 0,64g  + 0,64g  + 0,64g  + 1,60g  + 0,64g.	Uống	Cao lỏng	Công ty CPTM Dược VTYT Khải Hà	VIỆT NAM	TCT-00252-25	Lọ	35.600	35.600	2.000
70	150	Húng chanh, Núc nác, Cineol.	Thuốc ho Astemix	(500mg + 125mg + 0,883mg)/1ml.	Uống	Cao lỏng	Công ty Cổ phần Dược phẩm An Thiên	Việt Nam	893100264900 (VD-33407-19)	Chai	60.900	60.900	5.000
71	150	Húng chanh, Núc nác, Cineol.	Thuốc ho Astemix	Dung tích 60ml.	Uống	Cao lỏng 	Công ty Cổ phần Dược phẩm An Thiên	Việt Nam	893100264900 (VD-33407-19)	Chai	29.400	29.400	3.000
72	151	Lá thường xuân.	Capilusa	26mg.	Uống	Viên nang cứng	Công ty Cổ phần Dược Trung Ương Mediplantex	Việt Nam	893200129000 (VD-32965-19)	Viên	5.500	5.500	40.000
73	151	Cao khô Lá thường xuân.	Tùng Lộc Helix	0,7g.	Uống	Thuốc nước	Công ty Cổ phần Dược Quốc tế Tùng Lộc	Việt Nam	VD-28534-17	Gói	4.050	4.050	40.000
74	156	Sinh địa, Mạch môn, Huyền sâm, Bối mẫu, Bạch thược, Mẫu đơn bì, Cam thảo.	Bổ phế trị ho	250mg+200mg+200mg+ 200mg+150 mg+200mg+100mg	Uống	Viên nang cứng	Công ty TNHH MTV dược phẩm Phước Sanh Pharma	Việt Nam	VD-33929-19	Viên	2.016	2.016	100.000
75	156	Sinh địa, Mạch môn, Huyền sâm, Bối mẫu, Bạch thược, Mẫu đơn bì, Cam thảo.	Thanh Phế Thủy	(0,45g + 0,3g + 0,45g + 0,2g + 0,2g + 0,2g + 0,1g)/5ml.	Uống	Cao lỏng	Công Ty Cổ Phần Thương Mại Dược VTYT Khải Hà	Việt Nam	VD-33790-19	Chai	28.000	28.000	5.000
76	156	Sinh địa, Mạch môn, Huyền sâm, Bối mẫu, Bạch thược, Mẫu đơn bì, Cam thảo.	Dưỡng âm thanh phế thủy	Dung tích 220ml.	Uống	Cao lỏng	Công ty TNHH MTV dược phẩm Phước Sanh Pharma	Việt Nam	VD-27574-17	Chai	44.100	44.100	5.000
77	157	Trần bì, Cát cánh, Tiền hồ, Tô diệp, Tử uyển, Thiên môn, Tang bạch bì, Tang diệp, Cam thảo, Ô mai, Khương hoàng, Menthol.	Thuốc Ho Bổ Phế	Dung tích 80ml.	Uống	Cao lỏng	Công ty TNHH dược phẩm FitoPharma	Việt Nam	VD-23290-15	Chai	33.600	33.600	10.000
78	157	Trần bì, Cát cánh, Tiền hồ, Tô diệp, Tử uyển, Thiên môn, Tang bạch bì, Tang diệp, Cam thảo, Ô mai, Khương hoàng, Menthol.	Thuốc Ho Bổ Phế	Dung tích 200ml.	Uống	Cao lỏng	Công ty TNHH dược phẩm FitoPharma	Việt Nam	VD-23290-15	Chai	55.000	55.000	5.000
7. Nhóm thuốc chữa các bệnh về Dương, về Khí													
79	161	Đương quy, Bạch truật, Đảng sâm, Quế nhục, Thục địa, Cam thảo, Hoàng kỳ, Bạch linh, Xuyên khung, Bạch thược.	Thập toàn đại bổ A.T	Ống 8ml.	Uống	Cao lỏng	Công ty Cổ phần Dược phẩm An Thiên	Việt Nam	VD-25662-16	Ống	4.830	4.830	30.000
80	161	Đương quy, Bạch truật, Đảng sâm, Quế nhục, Thục địa, Cam thảo, Hoàng kỳ, Bạch linh, Xuyên khung, Bạch thược.	Thập toàn đại bổ A.T	Dung tích 120ml.	Uống	Cao lỏng	Công ty Cổ phần Dược phẩm An Thiên	Việt Nam	VD-25662-16	Chai	32.991	32.991	5.000
81	162	Hải mã, Lộc nhung, Nhân sâm, Quế.	Fitôgra-F	330mg + 330mg + 330mg + 100mg.	Uống	Viên nang cứng	Công ty TNHH Dược phẩm Fitopharma	Việt Nam	VD-25954-16	Viên	4.250	4.250	10.000
82	163	Linh chi, Đương quy.	Linh chi-F	500mg+300mg 	Uống	Viên nang cứng	Công ty TNHH Dược phẩm Fitopharma	Việt  Nam	VD-23289-15	Viên	1.450	1.450	10.000
83	165	Nhân sâm, Lộc nhung, Đương quy, Đỗ trọng, Thục địa, Phục linh, Ngưu tất, Xuyên khung, Hà thủ ô đỏ, Ba kích, Nhục thung dung, Sơn thù, Bạch truật, Kim anh, Nhục quế, Cam thảo.	Song hảo đại bổ tinh- F	210mg + 210mg + 105mg + 105mg + 105mg + 105mg + 105mg + 105mg + 105mg + 105mg + 105mg + 105mg + 105mg + 105mg + 105mg + 105mg.	Uống	Viên nang cứng	Công ty TNHH Dược phẩm Fitopharma	Việt Nam	VD-21496-14	Viên	1.500	1.500	50.000
84	166	Nhân sâm, Nhung hươu, Cao ban long.	Viên nang Sâm nhung HT	20mg + 25mg + 50mg.	Uống	Viên nang cứng	Công ty cổ phần dược Hà Tĩnh	Việt Nam	VD-25099-16	Viên	4.190	4.190	10.000
